Review Message,Sentiment
"""Titanic"" won a bazillion Oscars and is considered a classic by many. And, it now (counting this one) has 2400 reviews. So, what more can I say about this film that hasn't already been said? Well, very little--that is why this review is rather short.

I give the film a 9 because it isn't perfect. Some of the characters, to me, seemed a bit simplistic. But, no matter if you like them or not, there's no denying the awesomeness of the film. After all, it looks like you are on a huge cruise ship and the special effects of the wreck (this isn't exactly a spoiler!) are amazing. So, like the story or not, the film is staggering to watch--particularly on a big screen. And, now that I think about this, this is exactly how I viewed director Cameron's other huge success, ""Avatar"". Well worth seeing once.",Positive
"I had few problems with this film, and I have heard a lot of criticisms saying it is overlong and overrated. True, it is over three hours long, but I was amazed that it goes by so quickly. I don't think it is overrated at all, I think the IMDb rating is perfectly decent. The film looks sumptuous, with gorgeous costumes and excellent effects, and the direction from James Cameron rarely slips from focus. Leonardo DiCaprio gives one of his best performances as Jack, and Kate Winslet is lovely as Rose. David Warner, a great actor, steals every scene he's in. The story is very rich in detail, and is hot on character development, obvious with the love story which is very moving when it needs to be, though in the first bit of the movie it is a little slow. The last hour is extremely riveting, and I will confess that I was on the edge of my seat, when the Titanic sank. I will also say that the last five minutes were very moving. The music score by James Horner was lovely, though I never was a huge fan of the song My Heart will Go On. The 1996 miniseries was good, but suffered from undeveloped scenarios and some historical inaccuracies. Overall, I give Titanic an 8.5/10. Bethany Cox.",Positive
"Who says that old fashioned romantic films don't sell. They certainly do if they're done right as the story in Titanic certainly is.

This blockbuster version of the most famous shipwreck in history is a homage to Maytime. In fact in casting Gloria Stuart as old Rose through whose eyes we see the disaster unfold, Director James Cameron went back to a contemporary of Jeanette MacDonald and Nelson Eddy.

The film begins with the discovery of the wreck of the Titanic in the middle Eighties which did cause great excitement at the time. Searching the wreck divers come upon a safe and a nude portrait of a woman wearing a necklace with a diamond thought to be lost and the portrait is dated April 14, 1912. The woman is still alive and its Gloria Stuart who tells her tale the way an aged Jeanette MacDonald did in Maytime.

Winning a card game that got him a third class passage aboard the maiden voyage of Titanic, itinerant artist Leonardo DiCaprio gets on board the vessel. He meets and woos a younger version of Gloria Stuart who is played by Kate Winslet. Unfortunately she's about to enter a loveless marriage for money urged on by her mother, Frances Fisher, who wants her declining years not be spent in the poorhouse.

Her prospective fiancé is Billy Zane a rather arrogant young robber baron heir of his time who has a factotum/bodyguard in David Warner who has one of the best roles in the film. Still Leo and Kate get a few stolen hours of romance before the disaster strikes.

One thing that James Cameron did is that he never allowed the spectacle of the disaster nor even the issues of wealth and class that were omnipresent in the Titanic story to overwhelm his romantic leads. In fact they are an integral part of the story as young Leo reaches for what was unobtainable.

Leonardo DiCaprio remarked that his part of Jack was the least complex role he ever did. The part is a romantic lead, the guy has no secrets or hidden issues, he's just a young man in love. Maybe that was the reason he was not nominated for Best Actor in the face of all those nominations Titanic did get. It won for Best Picture and Best Director and a flock of Oscars in the technical area. Kate Winslet and Gloria Stuart were nominated and lost for Best Actress and Best Supporting Actress respectively.

Titanic is a story that's been filmed since the silent days almost in the wake of the disaster itself. The Germans made a propaganda film of it in 1943 which Nazi inspired though it was, did make a few points against the British upper classes and that the first class got saved and those in steerage mostly drowned. There was a fine version in 1953 with Clifton Webb and Barbara Stanwyck as an older married couple with problems on the doomed ship. And the British did the classic, A Night to Remember which is a documentary like recreation from the ship's officers point of view.

Still they'll have to go some beat this one. Titanic is a film for lovers of all ages and run Maytime back to back with Titanic if you can get DVDs and/or VHSs of both films.",Positive
"Titanic (1997)

**** (out of 4)

James Cameron's Oscar-winning love story about star crossed lovers (Leonardo DiCaprio, Kate Winslet) who come from different back grounds but fall in love aboard the Titanic. I remember seeing this on its opening weekend and it's amazing to see how well the film holds up after all these years. Yes, since it became so popular there are always going to be those who hold that against the film and while it's far from a masterpiece I do think it holds up quite nicely against many of the classic epics that have been made since D.W. Griffith's THE BIRTH OF A NATION. That film, GONE WITH THE WIND, BEN HUR and other epics were all grand on scale, told big stories with big effects and each of them had flaws here and there.

The most amazing thing about TITANIC is the way Cameron is able to tell the fake story and mix it in with so many real-life people and events. Since 1997 I've watched countless documentaries on the real subject and watching the film on its re-release made me appreciate it so much more. The little details given about certain real-life people was a major plus and so were the smaller touches. The amount of love and detail that Cameron puts into every single shot of the movie makes it very poetic and at any time you can't help but just look around and try to take in everything in the frame. Very few films have gone all-in with their subject matters but this here goes for everything and just comes up short at a few times. It certainly helps that you have two strong leads turning in fine performance.

Winslet was clearly the best of the bunch as she brings so much life to her character and perfectly manages to fit every side of her. Be it the rich, spoiled girl, the confused one, the heroic side or the love story aspect. I was less than thrilled with DiCaprio when I first saw the movie but looking back on the movie he too really stands out and delivers. Billy Zane, Kathy Bates, Frances Fisher, Bill Paxton and Gloria Stuart also deliver.

I think the biggest flaws in the film can be had in the screenplay. Many people objected to having the fake characters so close to the real ones during the finale but this here didn't bother me too much as when we see the real people it's in situations based on what we're led to believe happened. What bothered me in 1997 and today is that Cameron decided to make Zane the main villain over the iceberg. I really think the story starts of go overboard during the third act as Leo gets chained up and then we have more drama wrapped around the real event. There's no question that the romance made this movie such a hit but I think it could have worked with everyone had the stuff with Zane been toned down. God knows there was enough drama with the sinking to make up for Zane running around with a gun. With that said, that's about the only problem with TITANIC and those things aren't disastrous enough to ruin the movie. There's no question that the romance works, the special effects are terrific and on the whole this is just a movie that works on every level.",Neutral
"You know, I love disaster movies, and you don't get much bigger a disaster flick than TITANIC, James Cameron's magnum opus, a massively-budgeted and massively award-winning 1997 film that swept the board at the Oscars and has gone down in history as one of the most popular films ever made. Yet I only enjoyed half of it, and that's due to a problematic structure that sacrifices disaster in favour of a cheesy, sappy romance story.

Cameron has always been king when it comes to technology and people interacting with it: from his early sci-fi movies to THE ABYSS and AVATAR, he's great at depicting a world where people interact with technology and use it to their advantage. When he focuses on the disaster and sinking of the ship, this is an excellent film with some very impressive special effects that really get across the scale of the disaster.

When it comes to human characters, Cameron is a much less assured writer. The romance that plays out here is more unrealistic than in a cheap paperback novel and just as twee. The characters are one-dimensional, from DiCaprio's irritating commoner to Winslet's utterly unbelievable aristocrat who falls in love with him. Their romantic scenes are cringeworthy and as with the other characters they act in very modern days that would have been alien to the era. The less said about the likes of Billy Zane's cardboard cut-out villain the better.

In the end, we get a film which spends the entire first hour and a half just plodding around with dumb characters before the disaster strikes, and then things pick up, although there are still lots of cheesy moments and poor dialogue. It's 2/3 romance and 1/3 disaster, and while the disaster stuff is great, the romance is execrable. A NIGHT TO REMEMBER remains the best retelling of the tragedy out there because it focused on the events of the tragedy; I feel Cameron's TITANIC does a disservice to those who lost their lives that night.",Negative
"Brock Lovett (Bill Paxton) is searching for a legendary gem called The Heart of the Ocean presumed lost on the Titanic. When he finds a drawing instead, Rose (Gloria Stuart/Kate Winslet) comes on board and tells her story of Titanic and her love Jack Dawson (Leonardo DiCaprio). She's a wealthy girl destined for a loveless marriage to the hateful Cal Hockley (Billy Zane). He's a wandering artist who won his Titanic ticket in a poker game. He would save her in every way that a person can be saved.

I have often railed against the insertion of a love story unnecessarily into a historical event like 'Pearl Harbor'. But I think James Cameron made the right decision here. The story is compelling by itself. Leo has that boyish charm. Kate and Leo has become a legendary Hollywood big screen pairing. This time it works because it's well written, and well acted.

There is the great CGI. It's relatively seamless, and ahead of its times. The engine room is magnificent, even better than the boat itself. The iceberg hit was very convincing.

Then there is the sinking. For something that is absolutely expected, it still shocks. The suspense of it all holds my attention every time. The last hour of the movie is perhaps one of the most tension filled sequence of all times. It is the incredible CGI as well as the amazing stunts. It marries the real world with the computer world, and have rarely been exceeded even to this day. It is more harrowing than all those 3D superheroes smashing into skyscrapers. For it's iconic status, I have to give this 9/10.",Positive
"It's hard to believe that nearly nine years have passed since this movie came out. It's a masterpiece of special effects and storytelling, even if the romance schmaltzes it up a bit. I'm not too critical about films that stretch the truth. If that were not the case, we would only watch documentaries, and, of course, many of those are suspect. In addition to the incredible recreation of the Titanic and the people who sailed her, there is an air of mystery maintained throughout, accentuated by the incredible music score. The fact that we all know the story and the result makes us voyeurs to history. I enjoyed this movie, and yet it made me sad. I sat next to a couple of twenty something types with their baseball caps on backwards, yelling ""all right"" when a falling body would smack against an obstruction as it plummeted down the length of the capsizing ship. I sat in awe of the power of nature and imagined those poor people dying from the stupidity of an overconfident shipbuilder and captain. I know it's just a movie, but it had a really connection to my heart. The business with Leonardo de Caprio and Kate Winslet didn't really grab me. What did was that there was a hopelessness beyond anything we can fathom. If you read my review of ""A Night to Remember,"" also a fine film from much earlier, you will see that it's about people saying goodbye to their wives and children and to another day that makes this event so horrible. It's quite a marvelous movie. We may have forgotten that in the wake of all the attention it received, including parodies and spoofs.",Neutral
"I do not like Titanic. too much ambition, too many applauds. but it has the rare gift to use romanticism to remind a story who becomes , grace of Cameron, mythical. it has, in same measure, the virtue to use Gloria Stuart in a beautiful, touching role. and to impose to public Kate Winslet and Leonardo DiCaprio, both great actors. story of an impossible love story , in fact it is only the story of force of memories and the confrontation with the past's ghosts. it is story of a gem and story of a slice of happiness. and it is not fair to ignore the great care for details, the hard work of entire team, the craziness of Cameron to recreate a lost picture. but the ambition has always unfinished products. Titanic is a beautiful film. but not more. a blockbuster useful for tears and for a high position in statistics. but , maybe, it is enough because, I admit, I am deep subjective, Titanic has not the sparkle who transforms beautiful films in great films.",Negative
,
"Rose DeWitt Bukater is a beautiful young woman, travelling to America to be married to the dashing cad that is Caledon Hockley. Jack Dawson is a poor Irish kid with little hope of getting to the land of plenty  until, that is, he wins tickets onto a ship making that very crossing in mere minutes. Jack and his friend rush onto the boat and find themselves in 3rd class with all the rest of the poor people. Meanwhile, on the upper decks, the rich enjoy the space and pleasure that comes with privilege but yet Rose feels little happiness about her loveless prospects. A chance meeting between Jack and Rose sees them fall into a passionate instant love affair but time will show them that the class divide between them is really the least of their concerns.

As others have mentioned, Titanic seems to have enjoyed great praise and great abuse. When it came out it was the biggest movie of the day, sitting at the top of the charts for months and also sweeping the Best Picture Academy Award for that year. However as time has gone on it has received more and more of a kicking from viewers and it has now lost a lot of the appeal and shine that it once had. To some this is just a simple backlash without basis but I'm not sure I agreed with that. Of course there is an element of wanting to tear down the ""success"" of the film and perhaps wipe that smug smile off James ""king of the world"" Cameron's face but for me a lot of the negativity comes from people seeing the film in the cold light of day, without the crowded cinema, without the hype, without the partner to hug up to while watching.

So it is with me here. The first time I watched it I was with my partner in the front room of a packed cinema and allowed myself to be carried along by the sheer spectacle and not worry too much about the finer points. However watching it again I viewed it like I would any other film. As such the failings came tumbling out. The story is consistently weak whether it is the speed and superficiality of the central ""relationship"" or the roundly average dialogue within the script. Funny how a rush to sex is seen as romantic when it occurs in the movie whereas if the same tale was set in a Bolton nightclub, the view would not be the same! Part of the reason for this is the forced emotion and atmosphere of the film, with James Horner's manipulative score constantly on hand to tell us ""you're meant to cry at this bit"". This is very different from bringing the audience into the characters and the story in a genuine way and you are not getting into this car because you want to so much as being forced in with a hood over your head.

Of course this is not so different from many Hollywood blockbuster, but it is particularly noticeable here because the script and characters are so lacking. Director Cameron cannot make up for the failings of writer Cameron and instead just injects as much of this manipulative schmaltz into proceedings as he can as he waits for his effects budget to kick in. When it eventually does there is no denying that it is impressive in terms of spectacle but I do wonder how this will hold up as the effects become ordinary, because there is little else for the viewer to feast on. Certainly the performances offer very little, mostly due to the material handed to them. DiCaprio is miscast. I know it has been said countless times before but he looks far too young for the part and, as he looks more adult in other films he looks younger and younger in retrospect. Both he and Winslet are capable of so much more but neither really work individually or as a couple. Zane hams it up as a ""baddie"" and actually seems to be having a good time of it unlike his co-stars. Bates, Fisher, Paxton, Warner, Amis, Hyde and others all fill round the edges with so-so performances.

There is no questioning that this was a massive success and will stand up in lists for years to come. However the effects are already dating and, them to one side, there isn't a huge amount else to spend three hours on. The love story is clunky to match the dialogue and the actors can do little with it producing an unconvincing love story that is forced out with manipulative and exploitative methods that are exposed as such with a clear eyed viewing. A big film but not really a good one.",Positive
